Column,Organization Name,Program Name,Domain Name,Service Factor,Service Type 1,Service Type 2,Phone Number,Fax Number,Website,Mon- Hours,Tues-Hours,Wed-Hours,Thurs-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,City,Zip,Multiple Locations,Location Eligibility,Population Served,Brief Program Description,Age Range for Services,Specific Eligibility Criteria,Services Provided in other languages,Specify Languages,Services Offered,Duration/Length of Service,Evidence Based,Validated Screening Tools,Fees,Contact Name for Referrals,Phone Number 2,Email Address,Accepted Referral Process,Preferred Referral,Referral Form Provided,Referral Source Response Time,Practice for Following Up with Referring Organization,Current Waitlist,General Waitlist Trends,Duplication Policy,Transportation Policy,Primary Program Contact Name,Phone Number 3,Email address
M0001,Agape Psychological Consortium,Agape Psychological Consortium,Support for a Safe Home,History of Parenting Difficulties,Child and Family Mental Health Services,,336-855-4649,(336) 261-6488,http://www.agapepsych.com/,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-6:00pm,9:00am-1:00pm,,,"4160 Piedmont Parkway, Suite 207",Greensboro,27410.0,,Multi-County,,"Agape Psychological Consortium primary focus is to help individuals find solutions to whatever challenges they are experiencing.  There are licensed/licensed eligible psychologists, social workers, and counselors who have extensive experience working with children, adults, and families. Through their services, they work with children and adolescents (ages 3 through 18) with various emotional, educational, developmental, and behavioral challenges. They also work with adults with various psychological, interpersonal, and ""life related"" struggles. As part of their comprehensive assessment process, they will provide you with an objective assessment of your presenting issues. They will then help you to develop a strategy that could resolve and/or ""fix"" the problems that caused you to contact Agape Psychological Consortium.  ",Children 3-18 and Adults,,Yes,"English, Spanish (interpreter)","Therapeutic Services (individual, family, and couple therapy)
Testing & Diagnostic Services (IQ, achievement, and disability)
Psychological & Developmental Evaluations
ADHD, LD & Other School Based Services
Autism Spectrum Evaluations & Services
Emotionally & Behaviorally Disruptive Treatment
Post Traumatic Stress & Trauma Based Services
Parenting and Life Skill Services
Health & Wellness Services
Parent Consultation & Child Advocacy
Conflict Resolution & Mediation Services",As needed,,,$125.00 per 50-minute session,,,,Form online,Use form online,Yes,(They respond in the order that theyre sent),,Yes,4-5months,No,,Latravia Hynes,,lahines@agapepsych.com
M0002,Al-Anon Alateen of Greensboro/High Point NC,Al-Anon Alateen of Greensboro/High Point NC,Support for Parents,Substance Abuse,Substance Use Services,,800-449-1287,,http://www.greensboroalanon.org/index.html,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,N/A,N/A,N/A,,Guilford County-Wide,,"The Al-Anon Family Groups are a fellowship of relatives and friends of alcoholics who share their experience, strength, and hope in order to solve their common problems. We believe alcoholism is a family illness and that changed attitudes can aid recovery. Al-Anon is not allied with any sect, denomination, political entity, organization, or institution; does not engage in any controversy; neither endorses nor opposes any cause. There are no dues for membership. Al-Anon is self-supporting through its own voluntary contributions. Al-Anon has but one purpose: to help families of alcoholics. They do this by practicing the Twelve Steps, by welcoming and giving comfort to families of alcoholics, and by giving understanding and encouragement to the alcoholic.",All ages,Must know someone struggling with Alcohol or drug addiction,No,N/A,Support groups,"Recommend 6 session, as needed",N/A,N/A,Free,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,,,
M0003,Boys and Girls Club of Greater High Point,Boys and Girls Club at Carson Stout,Support for Caring for Infants and Children,Child Care Plans,After-School Programs,,336-884-4318,,https://www.hpclubs.org/,"School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm",,,1900 Fern Avenue,"High Point
",27260.0,,High Point,,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",Thu Jun 18 00:00:00 EDT 2020,,,,"Educational, recreational, cultural and social activities ","All year , except holidays",N/A,N/A,$2 per year,,,,Paper application,,,,,,,,Only for field trips ,,,Info@hpclubs.org
M0004,Boys and Girls Club of Greater High Point,Boys and Girls Club at Central Asheboro Club,Support for Caring for Infants and Children,Child Care Plans,After-School Programs,,336-625-5550,,https://www.hpclubs.org/,"School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm",,,801 Sunset Avenue,Asheboro,27203.0,,,,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",Thu Jun 18 00:00:00 EDT 2020,,,,"Educational, recreational, cultural and social activities ","All year , except holidays",N/A,N/A,$2 per year,,,,Paper application,,,,,,,,Only for field trips ,,,Info@hpclubs.org
M0005,Boys and Girls Club of Greater High Point,Boys and Girls Club at Southside Club,Support for Caring for Infants and Children,Child Care Plans,After-School Programs,,336-889-3446,,https://www.hpclubs.org/,"School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm",,,401 Taylor Avenue,High Point,27260.0,,,,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",Thu Jun 18 00:00:00 EDT 2020,,,,"Educational, recreational, cultural and social activities ","All year , except holidays",N/A,N/A,$2 per year,,,,Paper application,,,,,,,,Only for field trips ,,,Info@hpclubs.org
M0006,Boys and Girls Club of Greater High Point,Boys and Girls Club at Ward Street Club,Support for Caring for Infants and Children,Child Care Plans,After-School Programs,,336-886-8219,,https://www.hpclubs.org/,"School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm",,,1619 W Ward Avenue,High Point,27260.0,,,,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",Thu Jun 18 00:00:00 EDT 2020,,,,"Educational, recreational, cultural and social activites","All year , except holidays",N/A,N/A,$2 per year,,,,Paper application,,,,,,,,Only for field trips ,,,Info@hpclubs.org
M0007,Boys and Girls Club of Greater High Point,Boys and Girls Club at West End Club,Support for Caring for Infants and Children,Child Care Plans,After-School Programs,,336-886-5170,,https://www.hpclubs.org/,"School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm","School Months:
 2:00 pm – 7:00 pm

Summer Months & Holidays 9:00 am – 6:00 pm",,,903 English Road,High Point,27262.0,,,,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",Thu Jun 18 00:00:00 EDT 2020,,,,"Educational, recreational, cultural and social activites","All year , except holidays",N/A,N/A,$2 per year,,,,Paper application,,,,,,,,Only for field trips ,,,Info@hpclubs.org
M0008,UNCG Center for New North Carolinians,Family Violence Prevention Services,Support for a Safe Home,Family and Community Safety,Domestic Violence/Interpersonal Violence Services,Immigration Services,336-334-5411,336-334-5413,https://cnnc.uncg.edu/family-violence-prevention-services-program/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,"915 W. Gate City Boulevard, Suite A",Greensboro,27403.0,,Multi-County,,"CNNC’s Family Violence Prevention Services Program aims to address violence among refugee families of Greensboro through community collaboration, education, and capacity-building. Resettled refugees women are vulnerable to family violence, as many continue to endure trauma yet remain unaware of their legal rights and protections within the United States.",All ages,"Refugee families; focus on newly arrived refugee families including communities from Bhutan, Burma, Central America (including Democratic Republic of Congo), Iraq, Sudan, and Syria.",Yes,,,,,,,Natacha Nikokeza,336-334-9814,n_nikoke@uncg.edu,"Call, Email, Online application, Paper application",,https://cnnc.uncg.edu/wp-content/uploads/2018/07/Community-Centers-Referral-Form-1.doc,,,,,,,Natacha Nikokeza,336-334-9814,n_nikoke@uncg.edu
M0009,UNCG Center for New North Carolinians,Glen Haven Community Center,,,,,336-334-5466,336-334-5414,https://cnnc.uncg.edu/community-centers/,N/A,N/A,N/A,N/A,N/A,,,,,,,Greensboro,,"The CNNC Community Centers Program facilitate the integration of immigrants and refugees into the community with equity and a sense of justice through a focus on: education, health, employment, cultural brokering, referral, and advocacy.",All ages,Residents of neighborhood and the surrounding community,Yes,,"ESOL classes, employment readiness sessions, American cultural and social education, after-school tutoring for K-12 students, social enrichment activities (field trips and summer programming) for youth, child care for toddlers, health and safety classes, weekly visits by Congregational Nurses",Varies,No,No,No,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu,Paper application - fax,Paper application - fax,https://cnnc.uncg.edu/wp-content/uploads/2018/07/Community-Centers-Referral-Form-1.doc,,,,,,,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu
M0010,UNCG Center for New North Carolinians,Legacy Crossing Community Center,,,,,336-334-5466,336-334-5415,https://cnnc.uncg.edu/community-centers/,N/A,N/A,N/A,N/A,N/A,,,,,,,Greensboro,,"The CNNC Community Centers Program facilitate the integration of immigrants and refugees into the community with equity and a sense of justice through a focus on: education, health, employment, cultural brokering, referral, and advocacy.",All ages,Residents of neighborhood and the surrounding community,Yes,,"ESOL classes, employment readiness sessions, American cultural and social education, after-school tutoring for K-12 students, social enrichment activities (field trips and summer programming) for youth, child care for toddlers, health and safety classes, weekly visits by Congregational Nurses",Varies,No,No,No,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu,Paper application - fax,Paper application - fax,https://cnnc.uncg.edu/wp-content/uploads/2018/07/Community-Centers-Referral-Form-1.doc,,,,,,,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu
