"cluster_id","cluster_id_program","progam","org","sources","n_sources","m_n_sources","c_n_sources","msheetid","street_address","city","zip"
"001d01f2-05e1-4be7-ae95-64c40cdda5be","f8c893fa-bca2-478a-94c2-9cd6cd40361a","Interactive Resource Center","Interactive Resource Center","C0169;  M0073","2","1","1","M0073","407 E Washington Street","Greensboro","27401.0"
"00e32b9f-586b-41db-bced-844aa68755e5","a44a2c05-3a91-4326-be70-91213249813d","Womens Resource Center of Greensboro","Womens Resource Center of Greensboro","M0123;  C0046","2","1","1","M0123","628 Summit Avenue","Greensboro","27405.0"
"01082be3-d2aa-411c-9fae-ee565044130f","66998f0d-bdf3-421d-84ae-3ff66496f566","Journeys Counseling","Journeys Counseling","M0074;  C0203","2","1","1","M0074","3405 W. Wendover Avenue, Suite A","Greensboro","27407.0"
"022bd40e-9cec-4a4e-bb7a-757012070cd8","66f4557d-e5a7-42b6-9794-5d92b1907b3b","Bringing Out The Best","UNCG","C0045;  M0121","2","1","1","M0121","923 W. Gate City Boulevard Suite A","Greensboro","27402.0"
"04199905-234d-45ce-80e1-43a1194375ae","df1f34cf-11e7-4062-8cda-587596593eef","Alcohol and Drug Treatment","Ringer Center","C0227;  M0102","2","1","1","M0102","213 E. Bessemer Avenue","Greensboro","27401.0"
"04199905-234d-45ce-80e1-43a1194375ae","06ada18b-aba6-4a84-9514-8dc774537c9b","Outpatient Therapy","Ringer Center","C0216","1","0","1","NA","NA","NA","NA"
"04199905-234d-45ce-80e1-43a1194375ae","0f6a4e9c-2976-42cb-8efc-0da126ab80c5","DWI Assessments/Treatment","Ringer Center","M0105;  C0228","2","1","1","M0105","213 E. Bessemer Avenue","Greensboro","27401.0"
"04199905-234d-45ce-80e1-43a1194375ae","247c25f3-fcfe-40ee-809a-4c40fb97f9fd","Urinalysis","Ringer Center","M0108;  C0231","2","1","1","M0108","213 E. Bessemer Avenue","Greensboro","27401.0"
"04199905-234d-45ce-80e1-43a1194375ae","4470f107-88e1-4f29-a6bd-16628694a01c","Therapy","Ringer Center","M0107","1","1","0","M0107","213 E. Bessemer Avenue","Greensboro","27401.0"
"04199905-234d-45ce-80e1-43a1194375ae","571185af-8b2d-478b-bda7-a6873476cc4f","Mental Evaluations","Ringer Center","M0106","1","1","0","M0106","213 E. Bessemer Avenue","Greensboro","27401.0"
"04199905-234d-45ce-80e1-43a1194375ae","b3bf8d57-03d0-41b0-8707-5a3a632dd19b","Drug Detoxification","Ringer Center","M0104;  C0230","2","1","1","M0104","213 E. Bessemer Avenue","Greensboro","27401.0"
"04199905-234d-45ce-80e1-43a1194375ae","ef167387-69bd-43f5-90fd-a419c6296f61","Department of Transportation Assessments","Ringer Center","M0103;  C0229","2","1","1","M0103","213 E. Bessemer Avenue","Greensboro","27401.0"
"081baca6-defe-4f70-8b51-bfdc4ca2c7be","7668c61e-f8cc-4f40-aa71-e61ad596be28","HIV/STI Testing","Triad Health Project","C0221;  M0120","2","1","1","M0120","620 W. English Street","High Point","27262.0"
"081baca6-defe-4f70-8b51-bfdc4ca2c7be","7393c82d-7833-4d80-b1fb-7c1f6374057f","Higher Ground","Triad Health Project","C0220;  M0118","2","1","1","M0118","801 Summit Avenue","Greensboro","27405.0"
"081baca6-defe-4f70-8b51-bfdc4ca2c7be","d1a3cb33-f92e-4e5a-9418-8587194ea8ab","HIV/STI Testing","Triad Health Project","M0119;  C0219","2","1","1","M0119","801 Summit Avenue","Greensboro","27405.0"
"0ce6259f-c3d6-4295-bc09-4142139bdbd4","ebfe9414-0a83-4c63-92b5-c63476c1f8f1","Mary's House","Mary's House","M0166","1","1","0","M0166","520 Guilford Ave","Greensboro","27401.0"
"11875307-e676-453c-ad64-da22fbd564ed","a336de40-1a87-42de-b71a-ea167a703117","Mended Hearts Counseling","Mended Hearts Counseling","M0083;  C0206","2","1","1","M0083","701 W. Main Street Suite C","Jamestown","27282.0"
"14c84c63-52ab-4613-b6ca-67f826671922","a513565f-b371-4ee8-802c-ef64f95532da","Legal Aid of NC","Legal Aid of NC","M0081;  C0189","2","1","1","M0081","122 N. Elm Street","Greensboro","27401.0"
"1d3de207-6cf9-4a81-910d-69615962da12","47a9aef4-17c5-483e-8b58-d6f7615b95db","Food Pantry","Greensboro Urban Ministry","C0068;  M0058","2","1","1","M0058","305 W. Gate City Boulevard","Greensboro","27406.0"
"1d3de207-6cf9-4a81-910d-69615962da12","65339cf3-b272-4973-bf05-0568191e1812","Potter's House Community Kitchen","Greensboro Urban Ministry","M0059;  C0069","2","1","1","M0059","306 W. Gate City Boulevard","Greensboro","27406.0"
"1fd4ef81-e904-4d97-b5da-16d964286014","99ae2fb3-6b79-4eb0-929f-777440c9b2be","HealthySteps","Children's Home Society","M0017","1","1","0","M0017","604 Meadow St.","Greensboro","27405.0"
