CSheetID,Org,County,Program Name,Category,Service Area,Last Updated,Mon-Hours,Tues-Hours,Wed-Hours,Thur-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,Addressline 2,City,Zip,website,Phone,Program Description,COVID19_Updates,Additional Information,Contact Name,Contact Email,Contact Number,Alternative Phone,Column,Column2,Column3
C0001,Boys and Girls Club of Greater High Point,Randolph,Boys and Girls Club at Central Asheboro Club,Children & Families,Randolph County,Mon Aug 17 00:00:00 EDT 2020,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,,,801 Sunset Avenue,,Asheboro,27203,https://www.hpclubs.org/,336-625-5550,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",The club is open from 8:00 am - 6:00 pm.  It is recommended that a parent or community partner call and speak directly to the unit director if you are a new member.  They will schedule a time for a tour and help go over the forms.,,Kenny Mack,info@hpclubs.org,336-886-2582,336-882-2582,,,
C0002,Boys and Girls Club of Greater High Point,Guilford,Boys and Girls Club at Carson Stout,Children & Families,"High Point, Greater High Point",Mon Aug 17 00:00:00 EDT 2020,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,,,1900 Fern Avenue,,High Point,27260,https://www.hpclubs.org/,336-884-4318,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",The club is open from 8:00 am - 6:00 pm.  It is recommended that a parent or community partner call and speak directly to the unit director if you are a new member.  They will schedule a time for a tour and help go over the forms.,,Kenny Mack,info@hpclubs.org,336-886-2582,336-882-2582,,,
C0003,Boys and Girls Club of Greater High Point,Guilford,Boys and Girls Club at Southside Club,Children & Families,"High Point, Greater High Point",Mon Aug 17 00:00:00 EDT 2020,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,,,401 Taylor Avenue,,High Point,27260,https://www.hpclubs.org/,336-889-3446,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",The club is open from 8:00 am - 6:00 pm.  It is recommended that a parent or community partner call and speak directly to the unit director if you are a new member.  They will schedule a time for a tour and help go over the forms.,,Kenny Mack,info@hpclubs.org,336-886-2582,336-882-2582,,,
C0004,Boys and Girls Club of Greater High Point,Guilford,Boys and Girls Club at Ward Street Club,Children & Families,"High Point, Greater High Point",Mon Aug 17 00:00:00 EDT 2020,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,,,1619 W Ward Avenue,,High Point,27260,https://www.hpclubs.org/,336-886-8219,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",The club is open from 8:00 am - 6:00 pm.  It is recommended that a parent or community partner call and speak directly to the unit director if you are a new member.  They will schedule a time for a tour and help go over the forms.,,Kenny Mack,info@hpclubs.org,336-886-2582,336-882-2582,,,
C0005,Boys and Girls Club of Greater High Point,Guilford,Boys and Girls Club at West End Club,Children & Families,"High Point, Greater High Point",Mon Aug 17 00:00:00 EDT 2020,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,8:00 am - 6:00 pm,,,903 English Road,,High Point,27262,https://www.hpclubs.org/,336-886-5170,"Boys and Girls Club mission is to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens.",The club is open from 8:00 am - 6:00 pm.  It is recommended that a parent or community partner call and speak directly to the unit director if you are a new member.  They will schedule a time for a tour and help go over the forms.,,Kenny Mack,info@hpclubs.org,336-886-2582,336-882-2582,,,
C0006,Cone Health,Guilford,Breastfeeding Fundamentals,Children & Families,Guilford County,Thu Aug 13 00:00:00 EDT 2020,,7:00pm-9:00pm,,,,,,1200 N. Elm Street,,Greensboro,27401,https://www.conehealth.com/patients-visitors/classes/results/?topicId=681,336-832-6680,"Join for an interactive virtual breastfeeding class. A live instructor will teach families what to expect in the first days and weeks of breastfeeding your newborn. This class covers basic concepts of breastfeeding including: latching, positioning, challenges, and maintaining your milk supply while away from your baby. Breastfeeding is a very special journey for a new family and child. Like any new skill, breastfeeding will be more successful with early preparation by increasing your knowledge and confidence.",This course is held virtually on the second and fourth Tuesdays of each month via WebEx from 7:00pm - 9:00pm. Classes are free but registration is required to receive meeting link.,,Sophia Law,sophia.law@conehealth.com,336-832-6680,336-832-6848,,,
C0007,Department of Public Health,Guilford,Adopt a Mom,Children & Families,Guilford County-Wide,Thu Apr 30 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1203 Maple Street,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/health-department/health-and-wellness/coalition-on-infant-mortality-and-the-adopt-a-mom-program,336-641-6775,"The Adopt-A-Mom Program is sponsored by the Coalition on Infant Mortality and coordinates prenatal care for low to medium-risk pregnant women who are not eligible for Medicaid, do not have private insurance to cover the cost of care, and cannot afford to pay out of pocket for care.","Taking intakes by phone and foregoing $100 fee during this time frame, as well as signatures on documents",,Leandra Vernon,lvernon@guilfordcountync.gov,336-641-7513,,,,
C0008,Department of Public Health,Guilford,Care Coordination for Children (CC4C)/CMARC (Care Management for At Risk Children),Children & Families,Guilford County-Wide,Tue Aug 11 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1203 Maple Street,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/care-coordination-for-children-cc4c,336-641-7641,"The Care Coordination for Children (CC4C)/ Care Management for At Risk Children (CMARC) Program is a free case management service for eligible children from birth up to five years of age. We serve children born at risk for developmental delays, children who have difficulty learning to speak or doing other things that a typical toddler or preschooler can and children whose parents have a concern that something isn’t right.",Patient contact is primarily by phone.  Home visits are limited to delivery of important documents/items at the door to families already enrolled.  CC4C is doing telehealth visits with patients. Still accepting referrals.,,Debra Goddard,dgoddar@guilfordcountync.gov,336-641-7641,,,,
C0009,Department of Public Health,Guilford,Children's Developmental Services Agencies (CDSAs),Children & Families,Guilford County-Wide,Tue Aug 11 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,122 N. Elm Street,,Greensboro,27401,https://beearly.nc.gov/index.php/contact/cdsa,336-334-5601,"Local Children's Developmental Services Agencies (CDSAs) are available to help families, caregivers, and professionals serve children with special needs through our Infant Toddler Program.","All services are being provided via virtual platforms, including intakes.  We have suspended face to face visits.",,Debbi Kennerson,debbi.kennerson@dhhs.nc.gov,336-334-5601,,,,
C0010,Department of Public Health,Guilford,Case Management for High Risk Pregnancy (CMHRP) formerly OBCM,Children & Families,Guilford County-Wide,Tue Aug 11 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1100 E. Wendover Avenue,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/health-department/home-visiting-services,336-641-3700,"The Pregnancy Care Management Program is a free care management service available to pregnant women enrolled in North Carolina Medicaid and to a limited number of low income, uninsured pregnant women.","CMHRP CM’s will not be providing face to face visits with patients at several OB practice upon providers request in light of COVID-19

",,Lydia Monk,lmonk@guilfordcountync.gov,336-641-3700,,,,
C0011,Department of Public Health,Guilford,Family Connects,Children & Families,Guilford County-Wide,Fri Apr 17 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1203 Maple Street,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/health-department/home-visiting-services,336-641-3085,"Guilford Family Connects offers nurse home visits to all deliveries throughout Guilford County. Nurse home visits provide support, education, and early identification and referral of health & safety concerns.","Staff is working remotely.  They are able to drop off supplies at a client’s home if needed, but otherwise no home visits.  They are conducting pre-visit calls within the first week of discharge and 2nd week check-in. Nurses are able to answer general questions, troubleshoot and/or refer for needs found.  At 3 weeks,  a full intensive home visit will be done via phone.  ",,Teresa Tollison,ttollis@guilfordcountync.gov,336-641-3085,,,,
