ID,Org,Program,Street,City,Zip
C0001,Boys and Girls Club of Greater High Point,Boys and Girls Club at Central Asheboro Club,801 Sunset Avenue,Asheboro,27203
C0002,Boys and Girls Club of Greater High Point,Boys and Girls Club at Carson Stout,1900 Fern Avenue,High Point,27260
C0003,Boys and Girls Club of Greater High Point,Boys and Girls Club at Southside Club,401 Taylor Avenue,High Point,27260
C0004,Boys and Girls Club of Greater High Point,Boys and Girls Club at Ward Street Club,1619 W Ward Avenue,High Point,27260
C0005,Boys and Girls Club of Greater High Point,Boys and Girls Club at West End Club,903 English Road,High Point,27262
C0006,Cone Health,Breastfeeding Fundamentals,1200 N. Elm Street,Greensboro,27401
C0007,Department of Public Health,Adopt a Mom,1203 Maple Street,Greensboro,27405
C0008,Department of Public Health,Care Coordination for Children (CC4C)/CMARC (Care Management for At Risk Children),1203 Maple Street,Greensboro,27405
C0009,Department of Public Health,Children's Developmental Services Agencies (CDSAs),122 N. Elm Street,Greensboro,27401
C0010,Department of Public Health,Case Management for High Risk Pregnancy (CMHRP) formerly OBCM,1100 E. Wendover Avenue,Greensboro,27405
C0011,Department of Public Health,Family Connects,1203 Maple Street,Greensboro,27405
C0012,Department of Social Services,Child Support Services,400 West Market St.,Greensboro,27401
C0013,Department of Social Services,Child Support Services,325 E Russell Ave.,HIgh Point,27260
C0014,Department of Social Services,Work First Family Assistance,1203 Maple Street,Greensboro,27405
C0015,Department of Social Services,Child Protective Services,1203 Maple Street,Greensboro,27405
C0016,Department of Social Services,Child Protective Services,325 E. Russell Avenue,High Point,27260
C0017,Department of Social Services,Emergency Assistance - The Salvation Army Center of Hope,1311 S. Eugene Street,Greensboro,27405
C0018,Department of Social Services,Work First Family Assistance,325 E. Russell Avenue,High Point,27260
C0019,Department of Social Services,Emergency Assistance - The Salvation Army,1200 Eastchester Drive,High Point,27260
C0020,Department of Social Services,Emergency Assistance -The Salvation Army of High Point & Center of Hope Family Shelter,301 W. Green Drive,High Point,27260
C0021,Family Service of the Piedmont,High Point Center for Child Wellness,308 Boulevard Street,HIgh Point,27262
C0022,Family Service of the Piedmont,Fairview Family Resource Center,401 Taylor Avenue,High Point,27261
C0023,Greensboro Parks & Recreation,Greensboro Parks & Recreation,1001 Fourth Street,Greensboro,27405
C0024,Greensboro Public Libraries,Greensboro Public Libraries,219 N. Church Street,Greensboro,27401
C0025,Guilford Child Development,Nurse-Family Partnership,1200 Arlington Street,Greensboro,27406
C0026,Guilford Child Development,High Point Opportunity Center,2039 Brentwood Street,High Point,27263
C0027,Guilford Child Development,Family Success Center,1200 Arlington Street,Greensboro,27406
C0028,High Point Medical Center- Esther R. Culp Women's Center,Mommy and Me Classes,601 N. Elm Street,High Point,27262
C0029,High Point Medical Center- Esther R. Culp Women's Center,Expectant Parenting Classes,601 N. Elm Street,High Point,27262
C0030,High Point Medical Center- Esther R. Culp Women's Center,Pregnancy/Postpartum Support Group,601 N. Elm Street,High Point,27262
C0031,High Point Parks and Recreation,High Point Parks and Recreation,136 Northpoint Avenue,High Point,27262
C0032,HIgh Point Public Libraries,High Point Public Libraries,901 N. Main Street,High Point,27262
C0033,Kellin Foundation,Girls Leadership Edge,2110 Golden Gate Drive,Greensboro,27405
C0034,Kellin Foundation,Lindy's Kids,2110 Golden Gate Drive,Greensboro,27405
C0035,Novant Health,Baby Cafe,N/A,N/A,N/A
C0036,Parents as Teachers,Parents as Teachers,415 N. Edgeworth Street,Greensboro,27455
C0037,Piedmont Health Services and Sickle Cell Agency,Healthy Start Triad Baby Love Plus,1102 E. Market Street,Greensboro,27401
C0038,Piedmont Health Services and Sickle Cell Agency,Healthy Start Triad Baby Love Plus,401 Taylor Avenue,High Point,27260
C0039,Reading Connections,Reading Connections,122. Elm Street,Greensboro,27401
C0040,Reading Connections,Reading Connections,901 N. Main Street,High Point,27262
C0041,Salvation Army of Greensboro,Boys and Girls Club at Reynolds Unit,1001 Freeman Mill Road,Greensboro,27406
C0042,Salvation Army of Greensboro,Boys and Girls Club at the Teen Center,400 W. Whittington Street,Greensboro,27406
C0043,Salvation Army of Greensboro,Boys and Girls Club at Caldcleugh Unit,1700 Orchard Street,Greensboro,27406
C0044,Salvation Army of Greensboro,Boys and Girls Club at Hickory Trails,4223 Romaine Street,Greensboro,27407
C0045,UNCG,Bringing Out the Best,923 W. Gate City Boulevard,Greensboro,27402
C0046,Women's Resource Center of Greensboro,Women's Resource Center of Greensboro,628 Summit Avenue,Greensboro,27405
C0047,YWCA Greensboro,Teen Parent Mentor Program,1807 E. Wendover Avenue,Greensboro,27405
C0048,YWCA Greensboro,Healthy Moms Healthy Babies,1807 E. Wendover Avenue,Greensboro,27405
C0049,YWCA High Point,Womens Resource Center - Baby Basics Program,155 W. Westwood Ave,High Point,27262
C0050,YWCA High Point,Adolescent Parenting Program,155 W. Westwood Avenue,High Point,27262
C0051,YWCA High Point,Healthy Beginnings,155 W. Westwood Avenue,High Point,27262
C0052,YWCA High Point,Latino Family Center - El Pueblo,155 W. Westwood Avenue,High Point,27262
C0053,YWCA High Point,Latino Family Center - Hermanas/Hermanos,155 W. Westwood Ave,HIgh Point,27262
C0054,YWCA High Point,Latino Family Center - The Lead Program,155 W. Westwood Avenue,HIgh Point,27262
C0055,YWCA High Point,Youth Services,155 W. Westwood Avenue,High Point,27262
C0056,Family Justice Center,Family Justice Center,201 S. Greene Street,Greensboro,27401
C0057,Family Justice Center,Family Justice Center,505 E. Green Drive,High Point,27260
C0058,Family Service of the Piedmont,The Families First Center,315 E. Washington Street,Greensboro,27401
C0059,Family Service of the Piedmont,The Slane Center,1401 Long Street,High Point,27262
C0060,Kellin Foundation,Greensboro Child Response Iniative,2110 Golden Gate Drive,Greensboro,27405
C0061,Kellin Foundation,Treehouse Trauma Recovery,2110 Golden Gate Drive,Greensboro,27405
C0062,Sherri Denese Jackson Foundation,Temporary Emergency Shelter Assistance,125 S. Elm Street,Greensboro,27401
C0063,Department of Public Health,WIC,1100 E. Wendover Avenue,Greensboro,27405
C0064,Department of Public Health,WIC,501 E. Green Drive,High Point,27260
C0065,Department of Social Services,Food and Nutrition Services (Food Stamps),325 E. Russell Ave,High Point,27260
C0066,Department of Social Services,Food and Nutrition Services (Food Stamps),1203 Maple Street,Greensboro,27405
C0067,Greater High Point Food Alliance,Food Finder High Point,815 Phillips Avenue,High Point,27262
C0068,Greensboro Urban Ministry,Food Pantry,305 W. Gate City Boulevard,Greensboro,27406
C0069,Greensboro Urban Ministry,Potter's House Community Kitchen,305 W. Gate City Boulevard,Greensboro,27406
C0070,Macedonia Family Resource Center,Food Pantry,401 Lake Avenue,High Point,27260
C0071,Out of the Garden Project,Food Giveaway,1806 Merrit Drive,Greensboro,27407
C0072,Out of the Garden Project,Food Giveaway,1301 Alamance Church Road,Greensboro,27406
