cluster_id_program,Program_Name,Progam,Org,sources,n_sources,M_n_sources,C_n_sources,MSheetID,Street Address.x,City.x,Zip.x,cluster_id_Org,Organization Name,Program Name,Domain Name,Service Factor,Service Type 1,Service Type 2,Phone Number,Fax Number,Website,Mon- Hours,Tues-Hours,Wed-Hours,Thurs-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address.y,City.y,Zip.y,Multiple Locations,Location Eligibility,Population Served,Brief Program Description,Age Range for Services,Specific Eligibility Criteria,Services Provided in other languages,Specify Languages,Services Offered,Duration/Length of Service,Evidence Based,Validated Screening Tools,Fees,Contact Name for Referrals,Phone Number 2,Email Address,Accepted Referral Process,Preferred Referral,Referral Form Provided,Referral Source Response Time,Practice for Following Up with Referring Organization,Current Waitlist,General Waitlist Trends,Duplication Policy,Transportation Policy,Primary Program Contact Name,Phone Number 3,Email address
01492128-b3e5-496f-add2-a64762ae9f8b,Healthy Beginnings,Healthy Beginnings,YWCA High Point,C0051;  M0131,2,1,1,M0131,155 W. Westwood Avenue,High Point,27262.0,59cb0996-4174-429a-81fe-06df98a5e325,YWCA High Point,Healthy Beginnings,NA,NA,Home Visiting Programs,Case Management,336-882-4126,NA,https://ywcahp.com/what-we-do/healthy-beginnings/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,155 W. Westwood Avenue,High Point,27262.0,NA,"High Point, Greater High Point",NA,"Healthy Beginnings is a personalized program for minority women 20 – 30 years old and their children. The program seeks to help young women have healthy pregnancies and healthy children, and maintain a healthy lifestyle between pregnancies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Felicia Connelly,336-882-4126,fconnelly@ywcahp.com
017c523b-141e-4496-ac2f-96423af0020e,Sandhills Center,Sandhills Center,Sandhills Center,C0217;  M0115,2,1,1,M0115,201 N. Eugene Street,Greensboro,27401.0,211e0e9c-5a01-4a5d-ae13-f2ff96d2b724,Sandhills Center,Sandhills Center,NA,NA,Adult Mental Health Services,Child and Family Mental Health Services,1-800-256-2452,NA,http://shcextweb.sandhillscenter.org/shc_providersdirectory/,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,201 N. Eugene Street,Greensboro,27401.0,NA,Multi-County,NA,"Sandhills Center manages public mental health, intellectual/developmental disabilities and substance use disorder services for the citizens of Anson, Guilford, Harnett, Hoke, Lee, Montgomery, Moore, Randolph and Richmond counties.  Sandhills Center does not provide services directly, but acts as an agent of the North Carolina Department of Health & Human Services. Sandhills Center ensures that citizens in our region who seek services are able to access them through a network of contracted private providers.  We partner with individuals, family members, service providers, policy makers and other community stakeholders in creating, managing and supporting quality behavioral health services that meet the needs of our communities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
035afe3b-64d0-4da1-a9c2-4d1ab98deb27,WIC,WIC,Department of Public Health,M0029;  C0063,2,1,1,M0029,1100 E. Wendover Avenue,Greensboro,27405.0,b343b89a-1575-429b-a392-46e4f841d0b5,Department of Public Health,WIC,NA,NA,Food/Nutrition Assistance,Social Services,336-641-3214,NA,https://www.guilfordcountync.gov/our-county/human-services/health-department/child-health-services/how-wic-works,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,8:00am-11:00am / 1:00pm-4:00pm,NA,NA,1100 E. Wendover Avenue,Greensboro,27405.0,NA,Guilford County-Wide,NA,"The Special Supplemental Nutrition Program for Women, Infants, and Children (WIC) provides federal grants to states for supplemental foods, health care referrals, and nutrition education for low-income pregnant, breastfeeding, and non-breastfeeding postpartum women, and to infants and children up to age five who are found to be at nutritional risk.",Birth-5,"Women who are pregnant, postnatal 6 months and below, breastfeeding 12 months and below",Yes,All - Spanish Interpreter on staff and use services for other languages,"providing nutritious foods to supplement diets, information on healthy eating including breastfeeding promotion and support, and referrals to health care.",Birth-5,NA,NA,NA,Candice Davis,336-621-3214,cdavis1@guilfordcountync.gov,call or walk in,NA,NA,NA,NA,NA,NA,NA,NA,Candice Davis,336-621-3214,cdavis1@guilfordcountync.gov
0810a63d-86fd-4ed4-958b-7b4d03af88aa,Cone Health Behavioral Health - Partial Hospitalization,Cone Health Behavioral Health - Partial Hospitalization,Cone Health Behavioral Health,C0195;  M0025,2,1,1,M0025,"510 N. Elam Avenue, Suite 301",Greensboro,27403.0,d91bbf84-85ee-4b62-bef0-c20fa0a9efb4,Cone Health Behavioral Health,Cone Health Behavioral Health - Partial Hospitalization,Support for Parent(s),Parent Well Being,Adult Mental Health Services,NA,336-832-1353,NA,https://www.conehealth.com/services/behavioral-health/outpatient-behavioral-health-care/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,"510 N. Elam Avenue, Suite 301",Greensboro,27403.0,NA,NA,NA,"Short-term, comprehensive mental health care; once enrolled in this program, you will live at home or on your college campus and visit the Behavioral Health Hospital in Greensboro for at least five hours each weekday.",Adults,Adults experiencing a mental health crisis,NA,NA,"Cognitive behavioral therapy and dialectical skills-based group, which aims to help you develop constructive ways of acting and includes individual and group therapy; Occupational therapy; Education on reducing your risk of a mental health crisis; Guidance about taking medications; Nursing care, as necessary.",Two to four weeks,NA,NA,"Yes, will bill to private insurance, will not bill to Medicaid",NA,336-832-1353,NA,"None/walk-in, Call, Professional/Partner Referral",NA,NA,NA,NA,NA,NA,NA,NA,Debra Milikan,NA,debra.milikan@conehealth.com
0e2941aa-86a6-47f6-834a-0751dc4e0286,Al-Anon Alateen of Greensboro/High Point NC,Al-Anon Alateen of Greensboro/High Point NC,Al-Anon Alateen of Greensboro/High Point NC,C0224;  M0002,2,1,1,M0002,N/A,N/A,N/A,4f072fb9-a0cd-46e2-bf8e-db05992e8881,Al-Anon Alateen of Greensboro/High Point NC,Al-Anon Alateen of Greensboro/High Point NC,Support for Parents,Substance Abuse,Substance Use Services,NA,800-449-1287,NA,http://www.greensboroalanon.org/index.html,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,N/A,N/A,N/A,NA,Guilford County-Wide,NA,"The Al-Anon Family Groups are a fellowship of relatives and friends of alcoholics who share their experience, strength, and hope in order to solve their common problems. We believe alcoholism is a family illness and that changed attitudes can aid recovery. Al-Anon is not allied with any sect, denomination, political entity, organization, or institution; does not engage in any controversy; neither endorses nor opposes any cause. There are no dues for membership. Al-Anon is self-supporting through its own voluntary contributions. Al-Anon has but one purpose: to help families of alcoholics. They do this by practicing the Twelve Steps, by welcoming and giving comfort to families of alcoholics, and by giving understanding and encouragement to the alcoholic.",All ages,Must know someone struggling with Alcohol or drug addiction,No,N/A,Support groups,"Recommend 6 session, as needed",N/A,N/A,Free,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,NA,NA,NA
0f6a4e9c-2976-42cb-8efc-0da126ab80c5,DWI Assessments/Treatment,DWI Assessments/Treatment,Ringer Center,M0105;  C0228,2,1,1,M0105,213 E. Bessemer Avenue,Greensboro,27401.0,04199905-234d-45ce-80e1-43a1194375ae,Ringer Center,DWI Assessments/Treatment,NA,NA,Substance Use Services,NA,336-379-7146,NA,https://ringercenter.com/,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,NA,NA,213 E. Bessemer Avenue,Greensboro,27401.0,NA,Greensboro,NA,RInger Center offers a DWI Assessment which is a 24-48 hours period for $100 dollars. They work with local attorneys so that that you don't have to worry about the paperwork involved. They get a accurate assessment so when you go to court the judge will have correct information.,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephen W. Ringer,NA,NA
1155f3bb-0c72-4f91-87fe-12763516a532,Nurse-Family Partnership,Nurse-Family Partnership,Guilford Child Development,M0064;  C0025,2,1,1,M0064,1200 Arlington Street,Greensboro,27406.0,9729901a-536d-4db6-a008-fbb58b3f4afb,Guilford Child Development,Nurse-Family Partnership,NA,NA,Home Visiting Programs,Case Management,336-369-5080,336-378-7708,https://guilfordchilddev.org/parents/baby/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,1200 Arlington Street,Greensboro,27406.0,NA,Guilford County-Wide,NA,"Nurse-Family Partnership works by having specially trained nurses regularly visit young, first-time moms-to-be, starting early in the pregnancy, and continuing through the child's second birthday",Mothers and their child,"Low-income, first-time mothers in their 1st or 2nd trimester of pregnancy",Yes,"English, Spanish","Home visiting, case management, nutrition education, lactation consulting",Until the child is 2 years old,Yes,No,No,Tamieka Smith,336-669-2679,tamieka.smith@guilfordchilddev.org,"Call, Professional/Partner Referral","Call, Professional/Partner Referral",NA,Within 1 week,If request is made,None,None,No duplication allowed,No,Mishawne Carrington,336-369-5080,mishawne.carrington@guilfordchilddev.org
1236f969-1b54-48ac-af48-e3101019b99b,RHA Behavioral Health Clinic,RHA Behavioral Health Clinic,RHA Health Services,M0101;  C0215,2,1,1,M0101,211 S. Centennial Street,High Point,27260.0,69359add-28a0-46d0-9a8c-d4f5d6dfb01e,RHA Health Services,RHA Behavioral Health Clinic,Support for Parent(s),Substance Abuse,Adult Mental Health Services,Substance Use Services,336-899-1505,336-899-1513,https://rhahealthservices.org/mental-health-services/walk-in-open-access-nc/,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,NA,NA,211 S. Centennial Street,High Point,27260.0,NA,Multi-County,NA,"RHA Behavioral Health Clinic's goal is to provide you a welcoming place where you can walk in anytime without an appointment and talk with a staff member about your current mental health and/or substance use situation and needs. You will learn about options for treatment, support and resources. Same-Day Access hours (guaranteeing clinical assessment before referral) are M-F 8:30am-3:00pm.",All ages,People struggling with mental health and/or substance use,NA,NA,"Walk-in Crisis and Assessment, Outpatient Therapy, Medication Management, Peer Support, Recovery Education Center, Supported Employment and Transition Management Services",2-3 hours,NA,NA,Yes; bill to Medicaid and BCBS,NA,NA,NA,"None/walk-in, Call, Professional/Partner Referral",NA,NA,NA,NA,NA,NA,NA,NA,Blair Hedgecock,336-899-1505,blair.hedgecock@rhanet.org
12731f92-4bf9-4dde-afb8-c3f810487536,Outpatient Therapy,Outpatient Therapy,Archdale -Trinity Counseling Center,M0144,1,1,0,M0144,11635 N Main St Ste D,Archdale,27263.0,c7b8b3f2-5bb2-4c76-aadd-6be1cb41c6a4,Archdale -Trinity Counseling Center,Outpatient Therapy,NA,NA,NA,NA,336-431-1888 ex 21,NA,https://www.ncdps.gov/juvenile-justice/service-directory/archdale-trinity-counseling-center,NA,NA,NA,NA,NA,NA,NA,11635 N Main St Ste D,Archdale,27263.0,Archdale and Randolph County,"Davidson, Guilford, Randolph counties",NA,"Outpatient therapy, office based with specializations in children's/teens with trauma history, individual and family therapy available.",Tue Jun 16 00:00:00 EDT 2020,Refferal Required,NA,NA,Indiviual and family therapy,4-6 months,NA,NA,"Yes, health choice, private insurance, and medicade taken",NA,336-373-4264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336-373-4264,NA
15adea4b-b7a3-4926-a6bb-fcbbc4756903,Womens Health,Womens Health,Planned Parenthood,M0162,1,1,0,M0162,1704 Battleground Ave,Greensboro,27408.0,783701d3-7693-4b8d-9a20-b5ded7094b6a,Planned Parenthood,Womens Health,Support for Health Care,NA,NA,NA,336-373-0678,NA,https://www.plannedparenthood.org/health-center?location=Greensboro+nc,2:00pm-7:00pm,9:00am-5:00pm,closed,closed,9:00am-5:00pm,9:00am-1:00pm,closed,1704 Battleground Ave,Greensboro,27408.0,YES,NA,NA,Affordable health care and provider for sex education,NA,NA,Spanish interperters,NA,"sex education, health screens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19690524-34de-4b77-a965-c730764c2c86,Medicaid Transportation,Medicaid Transportation,Department of Social Services,M0034;  C0232,2,1,1,M0034,325 E. Russell Ave,High Point,27282.0,e7d8f57d-0fa3-4030-b6e4-859fbef0e569,Department of Social Services,Medicaid Transportation,NA,NA,Transportation Services,NA,336-641-3000,NA,https://www.guilfordcountync.gov/our-county/human-services/transportation/services-and-programs,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,8:00am-5:00pm,NA,NA,325 E. Russell Ave,High Point,27282.0,NA,Guilford County,NA,"TAMS provides transportation to doctors' offices, hospitals, dialysis centers, clinics, dentists and other health-related visits medical appoints for persons in need. Guilford County residents who have a Medicaid pink or blue card and who have no other means of transportation receive free transportation to medical appointment. Transportation services may include bus tickets, gas vouchers, taxis or vans. Medicaid recipients must complete a transportation assessment form before service can begin. This is usually handled over the phone. Other county residents living outside the city limits or without access to public transit can also receive medical transportation.",NA,NA,Spanish,Spanish and English,"Emergency Assistance, Heating or Cooling Assistnace, Family Recruitment for Foster and Adoptive Homes, Food Stamps, Guardianship Services, Work First Family Assistance, and Medicaid",NA,NA,NA,NA,NA,NA,NA,Online or in person,NA,https://epass.nc.gov/,NA,NA,NA,NA,NA,NA,NA,NA,NA
